"cluster","rent_anual","volatilidad","drawdown","correlacion_media","crisis"
1,0.948,-0.18,0.992,-0.696,"covid"
2,-2.252,2.168,-1.654,-1.449,"covid"
3,-0.398,-0.083,-0.481,0.575,"covid"
1,-1.644,-0.549,-1.151,1.053,"crisis2008"
2,-0.285,1.318,-0.85,-0.814,"crisis2008"
3,0.455,-0.619,0.673,0.253,"crisis2008"
1,0.699,-0.309,0.681,0.115,"crisis2022"
2,1.056,-1.339,0.974,-2.11,"crisis2022"
3,-0.856,0.573,-0.822,0.367,"crisis2022"
