"crisis","indice","cluster","es_regimen_agudo","n_ventanas","prop_en_fase_aguda","score_tension","centro_rent_anual","centro_volatilidad","centro_drawdown","centro_correlacion"
"crisis2008","000001.SS",3,FALSE,101,0.297,-2.8162,0.877,-1.3243,0.9811,0.3662
"crisis2008","^TWII",1,FALSE,223,0.6457,-1.4992,0.0446,-0.6766,0.2805,-0.4975
"crisis2008","^TWII",2,TRUE,70,0.8714,5.6124,-1.5016,1.2614,-1.6857,1.1637
"crisis2008","^TWII",3,FALSE,76,0,-0.7703,1.2522,0.8235,0.7295,0.3878
"crisis2008","^JKSE",1,TRUE,63,0.8413,5.8941,-1.6562,1.6174,-1.9625,0.6581
"crisis2008","^JKSE",2,FALSE,228,0.4123,-0.5771,0.5261,-0.0506,0.3927,0.3923
"crisis2008","^JKSE",3,FALSE,78,0.7436,-3.0737,-0.2,-1.1583,0.4372,-1.6783
"covid","^GSPC",1,TRUE,63,0.1111,4.8663,-1.0016,1.31,-1.3813,1.1735
"covid","^GSPC",2,FALSE,44,0.2273,-3.4764,1.3587,-0.4124,0.7359,-0.9693
"covid","^GSPC",3,FALSE,83,0.0723,-1.8508,0.04,-0.7757,0.6583,-0.3769
"covid","^GSPTSE",1,FALSE,115,0.1391,-2.5772,0.3966,-0.7622,0.712,-0.7063
"covid","^GSPTSE",2,TRUE,63,0.1111,5.031,-1.1094,1.3298,-1.3921,1.1997
"covid","^GSPTSE",3,FALSE,12,0,-1.714,2.0233,0.3234,0.485,0.4709
"covid","^GDAXI",1,FALSE,99,0.1616,-2.5742,0.2446,-0.8467,0.6905,-0.7925
"covid","^GDAXI",2,FALSE,28,0,-2.0801,1.5148,0.1069,0.6673,-0.0049
"covid","^GDAXI",3,TRUE,63,0.1111,4.9697,-1.0576,1.283,-1.3816,1.2475
"covid","^FCHI",1,TRUE,63,0.1111,5.2419,-1.2803,1.3013,-1.3904,1.2699
"covid","^FCHI",2,FALSE,109,0.0917,-2.8776,0.5951,-0.761,0.7176,-0.8038
"covid","^FCHI",3,FALSE,18,0.3333,-0.9213,0.8772,0.0536,0.5207,0.423
"covid","^FTSE",1,TRUE,63,0.1111,5.1714,-1.2446,1.3089,-1.3806,1.2373
"covid","^FTSE",2,FALSE,115,0.1391,-2.6998,0.5275,-0.756,0.6896,-0.7266
"covid","^FTSE",3,FALSE,12,0,-1.277,1.4788,0.3732,0.6393,0.4679
"covid","^IBEX",1,FALSE,66,0.0909,-1.6239,0.5648,-0.3651,0.59,-0.104
"covid","^IBEX",2,TRUE,63,0.1111,5.1616,-1.3112,1.2745,-1.3747,1.2012
"covid","^IBEX",3,FALSE,61,0.1639,-3.5739,0.7432,-0.9212,0.7814,-1.1281
"covid","FTSEMIB.MI",1,FALSE,85,0.1176,-2.9788,0.499,-0.8542,0.6831,-0.9425
"covid","FTSEMIB.MI",2,TRUE,63,0.1111,5.1904,-1.2709,1.343,-1.3852,1.1912
"covid","FTSEMIB.MI",3,FALSE,42,0.1429,-1.7571,0.8966,-0.2858,0.6954,0.1207
"covid","^SSMI",1,TRUE,62,0.1129,5.0958,-1.1825,1.3295,-1.4041,1.1796
"covid","^SSMI",2,FALSE,109,0.0917,-2.7166,0.4788,-0.767,0.726,-0.7448
"covid","^SSMI",3,FALSE,19,0.3158,-1.0435,1.1117,0.0617,0.4168,0.4233
"covid","^AEX",1,FALSE,12,0,-2.0735,1.8673,0.2753,0.7121,0.2305
"covid","^AEX",2,FALSE,115,0.1391,-2.555,0.4026,-0.7539,0.6822,-0.7163
"covid","^AEX",3,TRUE,63,0.1111,5.0588,-1.0906,1.3238,-1.3809,1.2636
"covid","^N225",1,TRUE,63,0.1111,4.8439,-0.9988,1.2705,-1.3789,1.1957
"covid","^N225",2,FALSE,35,0.1714,-1.5845,1.1853,-0.0011,0.5812,0.1831
"covid","^N225",3,FALSE,92,0.1087,-2.7142,0.233,-0.8696,0.7231,-0.8884
"covid","^HSI",1,TRUE,62,0.0968,4.617,-0.8436,1.2747,-1.2918,1.2069
"covid","^HSI",2,FALSE,56,0.2857,-3.0684,1.2285,-0.1587,1.0507,-0.6305
"covid","^HSI",3,FALSE,72,0.0139,-1.5892,-0.2291,-0.9743,0.2952,-0.5489
"covid","^KS11",1,FALSE,81,0.037,-2.1587,-0.266,-0.8905,0.6026,-0.9316
"covid","^KS11",2,TRUE,64,0.1094,4.3529,-0.6103,1.2685,-1.3312,1.1428
"covid","^KS11",3,FALSE,45,0.2889,-2.305,1.3468,-0.2012,0.8086,0.0516
