"Fecha","Open","High","Low","Close","Adj.Close","Volume"
2007-01-02,12924.5,12989.599609375,12908.400390625,12923.7001953125,12923.7001953125,60857400
2007-01-03,12919.2001953125,12926.400390625,12672.7998046875,12701.400390625,12701.400390625,199791400
2007-01-04,12679.2001953125,12701.400390625,12519.400390625,12553.599609375,12553.599609375,247371600
2007-01-05,12517.599609375,12553.599609375,12439.2998046875,12478,12478,201713900
2007-01-08,12558.2998046875,12617.2998046875,12478,12553.099609375,12553.099609375,172708200
2007-01-09,12496.7998046875,12553.099609375,12412.7998046875,12468,12468,207620800
2007-01-10,12461.2001953125,12474.2001953125,12412.599609375,12457.599609375,12457.599609375,196377200
2007-01-11,12455,12594.099609375,12453.099609375,12519.900390625,12519.900390625,213038300
2007-01-12,12565.2001953125,12702.900390625,12519.900390625,12678.7998046875,12678.7998046875,186501500
2007-01-15,12714.7001953125,12776.400390625,12678.7998046875,12755.400390625,12755.400390625,75247400
2007-01-16,12708.2001953125,12760.2001953125,12679.599609375,12720.2998046875,12720.2998046875,186471100
2007-01-17,12705.7001953125,12751.2001953125,12651.400390625,12730.400390625,12730.400390625,193312500
2007-01-18,12762.400390625,12795.900390625,12629.7001953125,12640.7001953125,12640.7001953125,202792000
2007-01-19,12638.7001953125,12751.599609375,12637.5,12719,12719,184046200
2007-01-22,12779.2998046875,12790.599609375,12696.2001953125,12705.7998046875,12705.7998046875,161886800
2007-01-23,12765.5,12910.900390625,12705.7998046875,12910.900390625,12910.900390625,220488600
2007-01-24,12875.7998046875,13030.099609375,12875.7998046875,13010.7001953125,13010.7001953125,196440200
2007-01-25,13038.2001953125,13046.599609375,12921.7998046875,12927.2998046875,12927.2998046875,221637500
2007-01-26,12976.2001953125,13006.7998046875,12927.2998046875,12979.2998046875,12979.2998046875,154448900
2007-01-29,12988.7001953125,13025,12926,12946,12946,216575300
2007-01-30,12951.900390625,13034.2001953125,12924.400390625,13014.599609375,13014.599609375,229124000
2007-01-31,12967,13074.099609375,12967,13034.099609375,13034.099609375,221977700
2007-02-01,13090.7001953125,13178.900390625,13034.099609375,13144.7001953125,13144.7001953125,220033300
2007-02-02,13177.7001953125,13177.7998046875,13102.5,13111.599609375,13111.599609375,187389600
2007-02-05,13144.900390625,13177,13111.599609375,13166.7001953125,13166.7001953125,140378600
2007-02-06,13204,13222.400390625,13158.400390625,13183.2998046875,13183.2998046875,174213000
2007-02-07,13210.599609375,13237.7001953125,13108.2001953125,13142.2998046875,13142.2998046875,194201100
2007-02-08,13138.900390625,13185.099609375,13095.599609375,13184.2998046875,13184.2998046875,199769200
2007-02-09,13177.5,13209.2998046875,13069.7998046875,13084,13084,201590600
2007-02-12,13100.599609375,13128.7998046875,13018.599609375,13040.5,13040.5,157700800
2007-02-13,13068.099609375,13171.7998046875,13040.5,13171.7998046875,13171.7998046875,191164800
2007-02-14,13209.5,13258.7998046875,13171.7998046875,13204.5,13204.5,195645300
2007-02-15,13218.2998046875,13294.2998046875,13204.5,13288.2001953125,13288.2001953125,223171500
2007-02-16,13310.099609375,13325.099609375,13279.2001953125,13312,13312,208040000
2007-02-19,13314,13323.7998046875,13281.7998046875,13291.5,13291.5,86850300
2007-02-20,13220.7001953125,13322.7001953125,13200.7001953125,13319.7001953125,13319.7001953125,206971500
2007-02-21,13309.5,13331.599609375,13238.2001953125,13330.2998046875,13330.2998046875,239685200
2007-02-22,13373.2998046875,13377.7998046875,13248.400390625,13318,13318,198729400
2007-02-23,13364.900390625,13376.2998046875,13318,13343.5,13343.5,171308000
2007-02-26,13406.2001953125,13433,13343.5,13404.5,13404.5,197053300
2007-02-27,13259.2998046875,13404.5,12947.900390625,13040.099609375,13040.099609375,249326400
2007-02-28,13049,13086.099609375,12951.7001953125,13045,13045,218005000
2007-03-01,12920,13045,12794.900390625,12981.099609375,12981.099609375,212759300
2007-03-02,12930.2998046875,13024.900390625,12857,12863.2998046875,12863.2998046875,232959700
2007-03-05,12691.5,12863.2998046875,12674.7001953125,12711.2998046875,12711.2998046875,202800500
2007-03-06,12831.7001953125,12886,12711.2998046875,12868.2001953125,12868.2001953125,213557300
2007-03-07,12891.900390625,13016.599609375,12868.2001953125,12989.599609375,12989.599609375,186820800
2007-03-08,13030.599609375,13102.2998046875,12989.599609375,13051,13051,188968400
2007-03-09,13050.7001953125,13102.400390625,13026.7001953125,13057.400390625,13057.400390625,152614600
2007-03-12,13032.599609375,13065.2001953125,13004.099609375,13065.2001953125,13065.2001953125,151876400
2007-03-13,13042.2001953125,13095.5,12804.5,12809.599609375,12809.599609375,175190600
2007-03-14,12776.2001953125,12842.5,12661.5,12808.7001953125,12808.7001953125,199023500
2007-03-15,12859.7998046875,12901.400390625,12808.7001953125,12874.2998046875,12874.2998046875,168906900
2007-03-16,12873.5,12932.900390625,12814,12829.7001953125,12829.7001953125,253309200
2007-03-19,12894.7001953125,13025.7001953125,12829.7001953125,13011.7001953125,13011.7001953125,155104400
2007-03-20,13012.5,13045.7998046875,12975.2001953125,12977.400390625,12977.400390625,153814100
2007-03-21,12985,13155.599609375,12977.400390625,13155.599609375,13155.599609375,185137400
2007-03-22,13190.599609375,13231.599609375,13135.7998046875,13139.599609375,13139.599609375,229223500
2007-03-23,13152.400390625,13237.7001953125,13139.599609375,13237.7001953125,13237.7001953125,189586500
2007-03-26,13306.2001953125,13308.099609375,13216.2998046875,13302.900390625,13302.900390625,222152400
2007-03-27,13254.2001953125,13302.900390625,13203.099609375,13218.7998046875,13218.7998046875,176646600
2007-03-28,13216.5,13247.599609375,13182.5,13197.2001953125,13197.2001953125,225507400
2007-03-29,13275.2998046875,13299.5,13197.2001953125,13258,13258,193218300
2007-03-30,13229.099609375,13258,13143.099609375,13165.5,13165.5,202292000
2007-04-02,13185.2998046875,13268.599609375,13165.5,13265.7998046875,13265.7998046875,145315400
2007-04-03,13275.099609375,13383.599609375,13254.099609375,13361.2001953125,13361.2001953125,208472600
2007-04-04,13367.900390625,13448.2998046875,13322.2001953125,13448.2998046875,13448.2998046875,222440300
2007-04-05,13445.2998046875,13460.2998046875,13425,13425,13425,165520400
2007-04-09,13459.400390625,13519.099609375,13425,13482.2998046875,13482.2998046875,132136800
2007-04-10,13518.400390625,13518.400390625,13429.099609375,13431.2998046875,13431.2998046875,225567800
2007-04-11,13447.7001953125,13474.599609375,13398.2001953125,13401,13401,241546100
2007-04-12,13396.5,13502.400390625,13359,13499.7001953125,13499.7001953125,197813300
2007-04-13,13509.7001953125,13581.2998046875,13491.900390625,13578.599609375,13578.599609375,203283900
2007-04-16,13599.7998046875,13667.099609375,13578.599609375,13660,13660,205978500
2007-04-17,13712.2001953125,13712.2001953125,13630.2998046875,13658,13658,226247200
2007-04-18,13612.7001953125,13713.099609375,13612.7001953125,13712,13712,183662900
2007-04-19,13582.5,13712,13539,13574.7001953125,13574.7001953125,185490900
2007-04-20,13666.099609375,13673.599609375,13574.7001953125,13664.7001953125,13664.7001953125,348114800
2007-04-23,13639.099609375,13684,13605.599609375,13629,13629,169162000
